"","quantity","estimator","value"
"1","mean","PM",0.00119105032587584
"2","mean","CB",0.00119105032587584
"3","mean","GR",0.00140772535254802
"4","mean","ML",0.00158589863907009
"5","var","PM",0.887296141370852
"6","var","CB",1.01116465983306
"7","var","GR",0.989771959156668
"8","var","ML",1.16186792556153
"9","var","true",1.03087947434211
"10","SSEL","PM",0.139387660844847
"11","SSEL","CB",0.142108317667627
"12","SSEL","GR",0.148785877526974
"13","SSEL","ML",0.165745171486706
"14","WSSEL","PM",3.48469152112116
"15","WSSEL","CB",3.55270794169067
"16","WSSEL","GR",3.71964693817436
"17","WSSEL","ML",4.14362928716765
"18","ISEL","PM",0.013296589784246
"19","ISEL","CB",0.0122521870952599
"20","ISEL","GR",0.0093253537979102
"21","ISEL","ML",0.0116254512918787
"22","SELrank","PM",0.0143609467455621
"23","SELrank","CB",0.0143609467455621
"24","SELrank","GR",0.0141952662721893
"25","SELrank","ML",0.0148011834319527
